,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
Fbxo9,2551.23516788092,0.0507911124790394,0.0559972320473419,0.907028983791537,0.364391470355777,0.0903551789893467,#BEBEBEB2
Ccdc132,1180.08663710252,0.049610096256428,0.0608454312229615,0.815346284171068,0.414874122343121,0.0918350027249276,#BEBEBEB2
Hars,2042.95048570298,0.0596346353218485,0.05778061075343,1.03208731344724,0.302031216439017,0.0878704228668966,#BEBEBEB2
Zmat2,1508.27024179833,0.0803427352695289,0.0769193650993983,1.04450595978928,0.29625136328478,0.0877055256820481,#BEBEBEB2
Smg5,2431.29604175852,-0.00795931928640388,0.0430136494681173,-0.185041710824921,0.853196319942302,0.0983242275250712,#BEBEBEB2
Cct3,3647.06482015285,0.0118054508805846,0.0423200645414709,0.278956353410473,0.780278320541991,0.0976886067654761,#BEBEBEB2
0610031J06Rik,805.116625585844,0.111132684685829,0.0794221249554816,1.39926607035662,0.161733210248944,0.078529648952926,#BEBEBEB2
Mef2d,1936.60548580196,-0.0497520048525297,0.0680528789366884,-0.731078620477108,0.464731132264597,0.0930859013999839,#BEBEBEB2
Tmem79,685.975069023194,0.222518232391486,0.112531994594973,1.97737748444233,0.0479989770782263,0.0580592239139932,#BEBEBEB2
Snd1,1653.54630323862,0.0957558301920291,0.0596017452867737,1.60659439973276,0.108143371826155,0.07298911710363,#BEBEBEB2
Col18a1,935.014755706623,0.144173076800056,0.276997088792334,0.52048589185045,0.60272495854334,0.0953619621735146,#BEBEBEB2
Slc19a1,650.137349136586,0.0299961009577866,0.0900028385123081,0.333279499331396,0.738923312826896,0.0972017001643552,#BEBEBEB2
Kpnb1,4412.26459825617,-0.00294986027901248,0.0391155147973156,-0.0754140727610957,0.939885262650774,0.09955487711219,#BEBEBEB2
Npepps,4215.72959262274,-0.0381864631158403,0.0429564246505145,-0.888958134354016,0.374025580187421,0.0905141288454397,#BEBEBEB2
Mrpl10,637.414584713808,0.000137902742164047,0.0784193390372605,0.00175852976902195,0.998596896970751,0.0999715851403942,#BEBEBEB2
Cyp51,2479.78377329619,0.00299121563232584,0.0655468814468829,0.0456347512848468,0.963601370494833,0.0998544443126033,#BEBEBEB2
Tcf25,12824.192612615,-0.0336883683351057,0.0446829460223944,-0.753942417275297,0.450883798960275,0.0929060691060525,#BEBEBEB2
Tubb6,547.881158259253,0.302201927638675,0.13172755570928,2.29414359062146,0.021782252212486,0.0455293776687119,#FF0000B2
Def8,1834.33646767521,0.0487731085892242,0.0582615930815054,0.83713997523193,0.402513892596998,0.0914590542274561,#BEBEBEB2
Meox1,56.7013260390069,-0.158217424086026,0.274607079980294,-0.576159304040448,0.56450750961728,0.0949547125892948,#BEBEBEB2
Pax9,29.1705411317595,-0.362668694358485,0.344088215134835,-1.05399917348628,0.291883295539809,0.0877055256820481,#BEBEBEB2
Col1a1,2725.94053246384,-0.239646205072321,0.360349236630369,-0.665038747725001,0.506025710140164,0.0937725585366154,#BEBEBEB2
Itga3,1710.81301014385,0.0694104771722854,0.0871167276421278,0.796752576123164,0.425594742516419,0.0920292664264543,#BEBEBEB2
Dlx3,76.0960533018353,-0.00859039998819968,0.240760892393058,-0.0356802132722423,0.971537348026223,0.0999024929120249,#BEBEBEB2
